Date,Opponent,Goals,Penalties,Penalties drawn,Faceoffs,Faceoffs won,"Faceoffs won, %",Hits,Faceoffs in DZ,Faceoffs won in DZ,"Faceoffs won in DZ, %",Faceoffs in NZ,Faceoffs won in NZ,"Faceoffs won in NZ, %",Faceoffs in OZ,Faceoffs won in OZ,"Faceoffs won in OZ, %",Blocked shots,Faceoffs lost,Scoring chances,CORSI%,Hits against,Power play,Successful power play,"Power play, %",Short-handed,Penalty killing,"Short-handed, %",xG per shot,Opponent's xG per shot,Net xG (xG - Opponent's xG),xG conversion,xG (Expected goals),Opponent's xG,xG per goal,Opponent's xG per goal,Shots,Shots on goal,Shots blocking,Missed shots,% shots on goal,Slapshot,Wrist shot,Power play shots,Short-handed shots,Shootouts scored,Puck battles,Puck battles won,"Puck battles won, %",Puck battles in OZ,Puck battles in NZ,Puck battles in DZ,Dekes,Dekes successful,Dekes unsuccessful,"Dekes successful, %",Passes total,Accurate passes,"Accurate passes, %",Pre-shots passes,Dump ins,Dump outs,Passes to the slot,OZ play,OZ play with shots,"OZ play with shots, %",Counterattacks,Counter-attack with shots,"Counter-attack with shots, %",Takeaways,Takeaways in NZ,Takeaways in DZ,Puck losses,Puck losses in OZ,Puck losses in NZ,Puck losses in DZ,Retrievals,Power play retrievals,Penalty kill retrievals,EV OZ retrievals,EV DZ retrievals,Takeaways in OZ,Loose puck recovery,Opponent’s dump-in retrievals,Entries,Entries via pass,Entries via dump in,Entries via stickhandling,Breakouts,Breakouts via pass,Breakouts via dump out,Breakouts via stickhandling,Type,Penalty time_minutes,Penalty time_seconds,Power play time_minutes,Power play time_seconds,Short-handed time_minutes,Short-handed time_seconds,Offensive play_minutes,Offensive play_seconds,Defensive play_minutes,Defensive play_seconds,OZ possession_minutes,OZ possession_seconds,NZ possession_minutes,NZ possession_seconds,DZ possession_minutes,DZ possession_seconds,isOpponent,isAway,OpponentScore,Outcome
2025-02-22,Neumann Knights,3,5,4,40,22,0.55,3,13,5,0.38,12,9,0.75,15,8,0.53,11,18,13,0.62,4,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.75,0.0,1.9,1.15,0.0,0.0,45,26,8,8,0.58,36,3,0.0,0.0,0,105,60,0.5700000000000001,0,0,0,16,11,5,0.6900000000000001,121,90,0.74,7,26,3,1,9,6,0.67,9,8,0.89,93,0,0,66,34,25,25,22,22,22,9.0,13.0,0,35,15,35,13,4,18,35,19,0,16,Even Strength,10,0,0,0,0,0,21,25,16,16,11,3,4,28,5,54,False,True,2,Win
2025-02-22,Hood,0,4,5,40,18,0.45,4,15,7,0.47000000000000003,12,3,0.25,13,8,0.62,8,22,10,0.38,3,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,-0.75,0.0,1.15,1.9,0.0,0.0,28,15,11,5,0.54,20,3,0.0,0.0,0,105,45,0.43,0,0,0,7,5,2,0.71,108,68,0.63,0,19,13,6,3,3,1.0,9,4,0.44,84,0,0,60,31,18,18,19,19,19,3.0,16.0,0,26,15,33,10,1,22,26,16,1,9,Even Strength,10,0,0,0,0,0,16,16,21,25,5,31,3,45,7,0,True,False,4,Loss
2025-02-21,Wilkes Colonels,1,1,2,56,23,0.41000000000000003,0,30,13,0.43,18,5,0.28,8,5,0.63,1,33,3,0.14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,-5.3,0.0,0.81,6.0,0.0,0.0,13,11,18,1,0.85,10,1,0.0,0.0,0,214,103,0.48,0,0,0,3,2,1,0.67,156,101,0.65,1,16,24,1,1,1,1.0,6,3,0.5,104,0,0,86,32,27,27,19,19,19,4.0,15.0,0,27,10,20,3,1,16,31,11,3,17,Even Strength,2,0,0,0,0,0,15,25,32,11,2,29,3,7,9,50,False,False,7,Loss
2025-02-21,Hood,6,2,1,56,33,0.59,1,8,3,0.38,18,13,0.72,30,17,0.5700000000000001,18,23,39,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.06,5.3,0.0,6.0,0.81,0.0,0.0,80,52,1,10,0.65,46,10,0.0,0.0,0,214,111,0.52,0,0,0,12,9,3,0.75,299,250,0.84,15,26,4,12,37,24,0.65,6,4,0.67,111,0,0,70,48,17,17,31,31,31,26.0,5.0,0,39,10,47,13,6,28,30,17,1,12,Even Strength,2,0,0,0,0,0,32,11,15,25,19,54,5,12,7,4,True,True,1,Win
2025-02-14,Arcadia University Knights,1,3,3,40,17,0.43,0,24,10,0.42,12,4,0.33,4,3,0.75,4,23,6,0.17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,-3.4,0.0,0.67,4.1,0.0,0.0,15,8,16,3,0.53,7,6,0.0,0.0,0,174,73,0.42,0,0,0,4,3,1,0.75,164,104,0.63,0,30,21,0,2,1,0.5,3,2,0.67,108,0,0,91,33,29,29,29,29,29,2.0,27.0,0,35,14,19,4,4,11,37,18,1,18,Even Strength,6,0,0,0,0,0,17,32,23,24,3,42,3,50,10,1,False,False,4,Loss
2025-02-14,Hood,4,3,3,40,23,0.5700000000000001,0,4,1,0.25,12,8,0.67,24,14,0.58,16,17,21,0.8300000000000001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,3.4,0.0,4.1,0.67,0.0,0.0,72,36,4,20,0.5,45,14,0.0,0.0,0,174,101,0.58,0,0,0,20,10,10,0.5,255,181,0.71,6,24,3,10,23,18,0.78,9,5,0.56,111,0,0,72,53,15,15,16,16,16,12.0,4.0,0,42,17,50,13,3,34,36,27,0,9,Even Strength,6,0,0,0,0,0,23,24,17,32,13,29,5,4,4,51,True,True,1,Win
2025-02-08,Alvernia Wolves,0,5,2,33,14,0.42,1,13,5,0.38,13,6,0.46,7,3,0.43,4,19,1,0.38,2,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,-1.26,0.0,0.62,1.88,0.0,0.0,23,14,5,5,0.61,20,3,0.0,0.0,0,137,68,0.5,0,0,0,6,4,2,0.67,96,63,0.66,2,22,10,4,1,1,1.0,3,2,0.67,85,0,0,70,36,18,18,13,13,13,4.0,9.0,0,27,8,17,3,3,11,20,11,1,8,Even Strength,33,0,0,0,0,0,13,21,22,47,4,3,3,43,5,36,False,True,4,Loss
2025-02-08,Hood,3,2,5,33,19,0.58,2,7,4,0.5700000000000001,13,7,0.54,13,8,0.62,5,14,10,0.62,1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,1.26,0.0,1.88,0.62,0.0,0.0,38,23,4,10,0.61,32,1,0.0,0.0,0,137,69,0.5,0,0,0,6,4,2,0.67,200,156,0.78,9,20,3,7,17,13,0.76,4,3,0.75,90,0,0,63,32,23,23,22,22,22,11.0,11.0,0,28,13,32,8,5,19,27,18,0,9,Even Strength,33,0,0,0,0,0,22,47,13,21,11,28,3,27,7,52,True,False,0,Win
2025-02-07,Stevenson Mustangs,3,2,4,41,19,0.46,1,13,4,0.31,15,7,0.47000000000000003,13,8,0.62,5,22,10,0.45,1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,-1.53,0.0,1.9,3.4,0.0,0.0,35,26,6,4,0.74,5,28,0.0,0.0,0,103,56,0.54,0,0,0,6,4,2,0.67,180,119,0.66,2,35,17,5,8,7,0.88,12,6,0.5,117,0,0,88,58,12,12,23,23,23,10.0,13.0,0,39,9,35,11,6,18,33,19,1,13,Even Strength,4,0,0,0,0,0,21,8,23,1,9,18,3,54,7,56,False,False,7,Loss
2025-02-07,Hood,6,4,2,41,22,0.54,1,13,5,0.38,15,8,0.53,13,9,0.6900000000000001,6,19,22,0.55,1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.05,1.53,0.0,3.4,1.9,0.0,0.0,42,23,5,13,0.55,4,29,0.0,0.0,0,103,47,0.46,0,0,0,11,5,6,0.45,212,148,0.7000000000000001,3,17,13,13,13,8,0.62,14,7,0.5,111,0,0,84,46,21,21,21,21,21,10.0,11.0,0,42,18,49,13,1,35,46,28,3,15,Even Strength,4,0,0,0,0,0,23,1,21,8,9,3,4,46,9,12,True,True,4,Win
